full_address,beds,baths,year_built,sq_ft_interior,sq_ft_lot,price,lat,long,zip_code,Actual,Predicted
2531 BRANDYWINE DR FARMERS BRANCH TX 75234,3,1.0,1958,916,7375,264377,32.9338715,-96.8951534,75234,264377,249434
12946 EPPS FIELD RD FARMERS BRANCH TX 75234,4,3.0,2014,3267,10102,315934,32.9225641,-96.8878364,75234,315934,697588
2658 MOUNT VIEW DR FARMERS BRANCH TX 75234,4,4.5,2007,3752,7501,862598,32.9199998,-96.8880916,75234,862598,788132
2979 OXFORDSHIRE LN FARMERS BRANCH TX 75234,3,2.0,1961,1438,9374,321712,32.9407765,-96.8763794,75234,321712,340289
12727 FRIAR ST FARMERS BRANCH TX 75234,3,3.5,2020,2669,4199,655731,32.9153351,-96.9290948,75234,655731,626970
13714 BIRCHLAWN  FARMERS BRANCH TX 75234,3,1.0,1956,1206,9627,270062,32.9308358,-96.8866458,75234,270062,284764
13816 BIRCHLAWN  FARMERS BRANCH TX 75234,3,2.0,1957,1386,8751,313300,32.9323687,-96.8852174,75234,313300,327894
13965 SUNDOWN TRL FARMERS BRANCH TX 75234,3,1.0,1957,1340,7492,298163,32.9349126,-96.8858076,75234,298163,303767
2934 MAYDELLE LN FARMERS BRANCH TX 75234,3,2.0,1961,1454,9100,354709,32.9182374,-96.8798562,75234,354709,342392
2536 FRUITLAND AVE FARMERS BRANCH TX 75234,2,1.0,1955,584,21201,238210,32.927722,-96.8938541,75234,238210,201028
13930 DENNIS LN FARMERS BRANCH TX 75234,3,1.0,1959,945,7501,292789,32.9343176,-96.8870648,75234,292789,254635
2524 BILL MOSES PKY FARMERS BRANCH TX 75234,3,2.5,2013,2440,2200,538928,32.9208938,-96.8945486,75234,538928,563164
13940 BIRCHLAWN  FARMERS BRANCH TX 75234,3,1.0,1957,1213,12776,296093,32.9355105,-96.8822809,75234,296093,287071
13949 SUNDOWN TRL FARMERS BRANCH TX 75234,3,1.0,1957,1066,7501,296165,32.9345413,-96.8861848,75234,296165,267757
13966 SUNDOWN TRL FARMERS BRANCH TX 75234,3,1.0,1957,931,7501,300298,32.9346335,-96.885447,75234,300298,250015
13933 BIRCHLAWN  FARMERS BRANCH TX 75234,3,2.0,1957,1704,8751,321236,32.9355169,-96.8827905,75234,321236,369687
13933 BIRCHLAWN  FARMERS BRANCH TX 75234,3,2.0,1957,1704,8751,321236,32.9355169,-96.8827905,75234,321236,295416
3210 HEATHERCREST DR GARLAND TX 75044,3,2.0,1975,1457,7231,321236,32.9688014,-96.6786293,75044,321236,369687
3210 HEATHERCREST DR GARLAND TX 75044,3,2.0,1975,1457,7231,321236,32.9688014,-96.6786293,75044,321236,295416
2710 MOUNT VIEW DR FARMERS BRANCH TX 75234,3,1.0,1954,1152,7200,288236,32.9200636,-96.8865204,75234,288236,274889
2732 GOLFING GREEN DR FARMERS BRANCH TX 75234,2,2.0,1971,1370,4365,267709,32.9258034,-96.8855838,75234,267709,313520
302 CLEARFIELD DR GARLAND TX 75043,3,2.0,1970,1958,10119,267709,32.8623917,-96.6273842,75043,267709,313520
2738 GOLFING GREEN DR FARMERS BRANCH TX 75234,6,4.0,1972,3000,8851,479939,32.9259422,-96.8852657,75234,479939,624914
2540 RICHLAND AVE FARMERS BRANCH TX 75234,2,1.0,1947,760,10746,220730,32.9290053,-96.8938227,75234,220730,210785
1795 PRESCOTT PL FARMERS BRANCH TX 75234,4,3.5,2020,3267,9060,768908,32.916594,-96.9184187,75234,768908,717171
2508 FIELDALE DR FARMERS BRANCH TX 75234,3,2.0,1957,1127,12223,314539,32.9348887,-96.8933931,75234,314539,293852
2930 ESTERBROOK DR FARMERS BRANCH TX 75234,2,2.0,1960,1205,8751,330248,32.9288785,-96.8760442,75234,330248,303755
1909 MERRIMAC TRL GARLAND TX 75043,4,3.0,1981,2456,17746,404036,32.881037,-96.6130245,75043,404036,397211
1922 MERRIMAC TRL GARLAND TX 75043,4,2.0,1986,2994,17337,383806,32.8820265,-96.6123423,75043,383806,435467
1603 DELMAR DR GARLAND TX 75040,3,1.5,1955,1316,7562,265047,32.8987271,-96.6333654,75040,265047,241622
1517 LYNN DR GARLAND TX 75040,3,1.5,1955,1377,7562,259892,32.8989369,-96.6323726,75040,259892,246114
1401 CUMBERLAND DR GARLAND TX 75040,3,1.0,1961,986,7200,182395,32.9004139,-96.6265423,75040,182395,215269
1309 CUMBERLAND DR GARLAND TX 75040,3,1.0,1961,1212,7200,217113,32.9007655,-96.626541,75040,217113,230929
314 WANDA DR GARLAND TX 75040,3,1.5,1971,925,9178,181717,32.901171,-96.623753,75040,181717,226544
2108 CAMDEN DR GARLAND TX 75041,3,2.5,1952,1332,7200,264258,32.8917618,-96.6490505,75041,264258,264257
2104 CAMDEN DR GARLAND TX 75041,3,1.0,1952,727,7200,215079,32.8919284,-96.649047,75041,215079,194449
1332 DEVONWOOD DR GARLAND TX 75041,3,1.0,1952,1344,8777,232059,32.8899682,-96.6498021,75041,232059,237790
1340 DEVONWOOD DR GARLAND TX 75041,3,1.0,1952,743,8838,199007,32.8903005,-96.6500462,75041,199007,195131
3009 HILLSDALE LN GARLAND TX 75042,3,2.0,1971,1436,7131,267552,32.9245026,-96.673815,75042,267552,292482
2918 POTOMAC DR GARLAND TX 75042,4,3.0,1975,1832,7701,258985,32.9295798,-96.6727081,75042,258985,361154
2926 BURNING TREE LN GARLAND TX 75042,4,2.0,1971,1892,7131,312722,32.9248238,-96.6730631,75042,312722,340518
3101 BURNING TREE LN GARLAND TX 75042,3,2.0,1972,1745,7131,337463,32.9253155,-96.6753899,75042,337463,322099
3114 O HENRY DR GARLAND TX 75042,3,2.0,1972,1508,7632,315452,32.9256547,-96.6758,75042,315452,300436
2905 CHISHOLM TRL GARLAND TX 75042,3,2.0,1973,1756,7039,321016,32.927627,-96.6719354,75042,321016,324477
3106 BROOK GLEN DR GARLAND TX 75044,4,2.0,1975,2032,7192,317557,32.9609979,-96.67595,75044,317557,348484
3202 KNIGHTS HAVEN LN GARLAND TX 75044,4,2.5,1976,2234,8289,346955,32.9622737,-96.6771149,75044,346955,389972
3206 KNIGHTS HAVEN LN GARLAND TX 75044,3,2.5,1976,2210,7349,345466,32.9618289,-96.6772402,75044,345466,386070
3222 KNIGHTS HAVEN LN GARLAND TX 75044,4,3.0,1975,1890,7013,345590,32.9617938,-96.6783054,75044,345590,352608
3317 BROOK GLEN DR GARLAND TX 75044,3,2.0,1975,2008,7819,337000,32.9614217,-96.6791199,75044,337000,344581
3229 FRIAR LN GARLAND TX 75044,3,2.0,1975,1854,7475,333869,32.9629805,-96.677825,75044,333869,324941
3221 FRIAR LN GARLAND TX 75044,4,2.0,1977,1943,7475,341953,32.9627815,-96.677449,75044,341953,339817
3102 FRIAR LN GARLAND TX 75044,2,2.0,1977,1487,217800,460519,32.9619858,-96.674713,75044,460519,300468
5609 JESTER DR GARLAND TX 75044,4,2.5,1977,2251,7566,354522,32.9676258,-96.6773864,75044,354522,394116
520 HENDERSON CIR GARLAND TX 75040,3,1.5,1968,1064,6251,208566,32.9055906,-96.6246804,75040,208566,234209
2313 ANITA DR MESQUITE TX 75149,3,1.0,1959,1414,76298125,227161,32.7909675,-96.6323514,75149,227161,221307
2301 SYBIL DR MESQUITE TX 75149,3,1.0,1959,979,7501,202310,32.7892237,-96.6314406,75149,202310,199474
2428 CANTURA DR MESQUITE TX 75181,4,2.5,2001,2883,18391,430273,32.7448298,-96.5673081,75181,430273,404018
3217 EDGEBROOK DR MESQUITE TX 75150,4,2.0,1960,1365,7436,292792,32.8087979,-96.6393052,75150,292792,254488
3920 LA PRADA DR MESQUITE TX 75150,3,1.5,1958,1392,7501,243362,32.8275478,-96.6574341,75150,243362,257307
5202 WALTHAM CT GARLAND TX 75043,3,2.0,1987,1200,3999,243362,32.8539817,-96.5706025,75043,243362,257307
3409 RUBY DR MESQUITE TX 75150,4,1.5,1958,1248,7876,253105,32.8149476,-96.6499856,75150,253105,236591
2500 RIVER OAKS LN MESQUITE TX 75150,3,2.0,1973,1833,9313,327446,32.8355525,-96.6364005,75150,327446,290963
4314 HYDE PARK DR MESQUITE TX 75150,3,1.0,1957,960,7497,220035,32.8238652,-96.6532677,75150,220035,199985
3417 GAYLE DR MESQUITE TX 75150,3,1.0,1957,984,7876,202774,32.8208231,-96.6514214,75150,202774,201775
3714 LISA LN MESQUITE TX 75150,3,1.5,1959,1325,7680,219645,32.8124457,-96.6551468,75150,219645,236394
3600 SUSAN DR MESQUITE TX 75150,3,1.0,1959,1020,8398,219708,32.8124117,-96.6533095,75150,219708,205710
3413 SHERYL DR MESQUITE TX 75150,3,2.0,1959,1140,7802,286055,32.8140899,-96.6504037,75150,286055,266270
1002 KEY COLONY  GARLAND TX 75043,4,2.0,1970,1438,10298,286055,32.8520776,-96.6382791,75043,286055,266270
325 KIMBERLY DR MESQUITE TX 75149,3,1.5,1978,1644,8259,280615,32.7744733,-96.5939182,75149,280615,263902
2413 BARETTA DR MESQUITE TX 75181,3,2.0,1990,1406,3994,284963,32.7568316,-96.5628869,75181,284963,260975
3742 LISA LN MESQUITE TX 75150,3,1.0,1959,1348,8398,242888,32.8118484,-96.6563561,75150,242888,230195
401 CONGER DR MESQUITE TX 75149,2,2.0,1977,1594,6891,260656,32.7777436,-96.5926667,75149,260656,262755
2722 CARY DR MESQUITE TX 75150,3,1.5,1960,1452,7440,206575,32.8130968,-96.6395732,75150,206575,191640
1305 EWING DR GARLAND TX 75040,2,1.0,1949,772,8821,206575,32.9008439,-96.6414936,75040,206575,191640
3828 LA PRADA DR MESQUITE TX 75150,3,1.5,1958,1068,7501,233943,32.8279848,-96.6564342,75150,233943,216585
4331 SCOTTSDALE DR MESQUITE TX 75150,3,1.0,1956,1231,7501,233112,32.8245639,-96.6558089,75150,233112,219591
3425 MOON DR MESQUITE TX 75150,3,1.0,1958,1084,7619,258467,32.8182957,-96.6508447,75150,258467,209865
3717 SUSAN DR MESQUITE TX 75150,3,1.0,1959,1329,6961,231194,32.8119326,-96.6550583,75150,231194,228780
3729 SIDNEY DR MESQUITE TX 75150,3,1.5,1961,1377,7200,251020,32.8199702,-96.6560829,75150,251020,241525
1831 UVALDE ST MESQUITE TX 75150,3,2.0,1983,1894,7244,326984,32.8176326,-96.6260069,75150,326984,301761
1701 WINDMIRE DR MESQUITE TX 75181,3,2.0,1987,1639,7405,289681,32.7478766,-96.5549383,75181,289681,278166
3817 LA PRADA DR MESQUITE TX 75150,3,1.5,1958,984,7501,257285,32.8287535,-96.6563725,75150,257285,210315
1613 VICKSBURG DR MESQUITE TX 75181,4,2.0,1996,2528,10424,406005,32.7439757,-96.5601361,75181,406005,360082
3116 KARLA DR MESQUITE TX 75150,5,2.0,1959,1405,7074,274584,32.8294775,-96.6451187,75150,274584,263420
3708 CONCORD CIR BALCH SPRINGS TX 75180,3,2.0,1970,1407,6943,274584,32.7189482,-96.5968802,75180,274584,263420
2821 MAPLE DR MESQUITE TX 75150,2,1.0,1959,1164,7719,223274,32.8290009,-96.6418687,75150,223274,209892
2845 MAPLE DR MESQUITE TX 75150,3,1.5,1959,1348,7815,230631,32.8283697,-96.6428702,75150,230631,238111
2632 EMERALD DR MESQUITE TX 75150,2,1.0,1964,975,8041,220420,32.810727,-96.6404082,75150,220420,198902
1210 MELROSE ST GARLAND TX 75040,3,1.5,1959,949,7200,220420,32.9268408,-96.6463784,75040,220420,198902
4321 HARVEY DR MESQUITE TX 75150,3,2.0,1956,1217,7200,240081,32.8242078,-96.6568584,75150,240081,234376
318 MAGNOLIA LN DUNCANVILLE TX 75137,3,2.0,1963,1231,7858,240081,32.6426875,-96.904752,75137,240081,234376
4226 MODLIN ST MESQUITE TX 75150,3,1.5,1957,1277,7497,196639,32.8227384,-96.6501653,75150,196639,231563
224 OVERLAND TRL MESQUITE TX 75149,3,2.0,1985,1410,4635,249410,32.7837031,-96.5983704,75149,249410,256214
813 CURTIS DR GARLAND TX 75040,3,2.0,1963,1310,8398,249410,32.9052391,-96.6157904,75040,249410,256214
910 VIA VALENCIA  MESQUITE TX 75150,3,2.0,1973,1732,9479,308453,32.8283996,-96.6099864,75150,308453,283423
4615 PALOS VERDES DR MESQUITE TX 75150,3,2.5,1974,2221,7562,297005,32.8279233,-96.6114419,75150,297005,328470
4400 OCEAN REEF  MESQUITE TX 75150,3,2.0,1981,1385,7200,261292,32.8295047,-96.6321427,75150,261292,262516
1024 PARKWOOD TRL MESQUITE TX 75149,4,2.0,1997,1918,9662,330126,32.753821,-96.5700186,75149,330126,304881
917 ASHLAND DR MESQUITE TX 75149,3,1.5,1968,1162,7079,223577,32.7490576,-96.5871603,75149,223577,224264
3529 SHERYL DR MESQUITE TX 75150,3,1.0,1958,1042,11700,225835,32.8140857,-96.6531842,75150,225835,206721
2921 BRANCH HOLLOW DR MESQUITE TX 75150,4,2.0,1983,1629,10136,310518,32.8041361,-96.6032218,75150,310518,288542
1248 REGAL DR GARLAND TX 75040,3,2.0,1994,1522,12872,310518,32.9004004,-96.6093137,75040,310518,288542
433 COVEY LN MESQUITE TX 75150,3,2.0,1983,1928,8629,312782,32.8036829,-96.6039103,75150,312782,304296
3113 WICHITA DR MESQUITE TX 75149,3,3.0,1981,1623,7954,302115,32.7826823,-96.645376,75149,302115,283409
2024 POTTER LN MESQUITE TX 75149,3,2.0,1969,1947,9670,228167,32.7521181,-96.6290628,75149,228167,285123
4870 STALLCUP DR MESQUITE TX 75150,3,2.0,1967,2143,9601,293525,32.8358035,-96.6432471,75150,293525,310361
4866 STALLCUP DR MESQUITE TX 75150,4,3.0,1969,1965,7919,294772,32.8356347,-96.6431218,75150,294772,320722
3503 PALM DR MESQUITE TX 75150,3,1.5,1961,1139,7562,232535,32.8017294,-96.6502664,75150,232535,223757
318 PHILLIP ST MESQUITE TX 75149,3,1.0,1957,910,7200,204309,32.7638943,-96.588034,75149,204309,193427
624 DESCO DR MESQUITE TX 75149,2,1.0,1959,1586,10385,250253,32.7726732,-96.6022622,75149,250253,237743
2515 HOLLOW BEND  MESQUITE TX 75150,3,2.0,1985,1554,7492,288140,32.7997862,-96.6091468,75150,288140,277627
473 EL RIO DR MESQUITE TX 75150,3,2.5,1988,1751,7610,313882,32.8317729,-96.6008436,75150,313882,302120
610 ECHO DR GARLAND TX 75040,3,2.0,1986,1772,7527,313882,32.9448679,-96.6246295,75040,313882,302120
8327 MIDLAND LN DALLAS TX 75217,4,2.0,1957,2404,28985,313882,32.6957632,-96.6773192,75217,313882,302120
1018 CALADIUM DR MESQUITE TX 75149,3,1.0,1960,954,7440,194947,32.7540643,-96.5796107,75149,194947,198414
2229 BENT BROOK DR MESQUITE TX 75181,5,3.0,1993,3221,7283,424697,32.7422452,-96.5467023,75181,424697,425191
461 EL RIO DR MESQUITE TX 75150,3,2.5,1988,1718,4813,298402,32.8321305,-96.6007185,75150,298402,299662
2114 STILLWATER DR MESQUITE TX 75181,3,2.0,1993,1934,8603,386570,32.7434158,-96.5490044,75181,386570,310944
2300 AUSTIN DR MESQUITE TX 75181,4,2.0,1992,2323,7414,356561,32.7410546,-96.5471285,75181,356561,337495
1217 CHAPMAN DR MESQUITE TX 75149,3,1.0,1966,938,7745,224460,32.7560099,-96.5824066,75149,224460,201249
2216 LEE ST GARLAND TX 75041,2,1.0,1955,829,8973,224460,32.8796766,-96.6627956,75041,224460,201249
3838 AMBASSADOR WAY  BALCH SPRINGS TX 75180,3,1.5,1971,1477,7479,224460,32.7158922,-96.6163182,75180,224460,201249
4317 ASHWOOD DR MESQUITE TX 75150,4,2.0,1961,2131,8246,267210,32.8246173,-96.6374442,75150,267210,312293
4318 OCEAN REEF  MESQUITE TX 75150,3,2.0,1982,1405,8281,258291,32.8288094,-96.6320174,75150,258291,264631
1408 MORRISON PL GARLAND TX 75040,3,1.5,1971,1034,7148,258291,32.9190082,-96.6133168,75040,258291,264631
4110 CORYELL WAY  MESQUITE TX 75150,3,2.0,1986,1873,9548,363654,32.8189231,-96.6228436,75150,363654,302061
713 BLUEBONNET LN MESQUITE TX 75149,3,1.0,1966,1024,7200,211156,32.7583032,-96.5813772,75149,211156,207153
1506 CLEARBROOK ST LANCASTER TX 75134,3,1.0,1972,1162,7937,211156,32.6109075,-96.790457,75134,211156,207153
2437 SYBIL DR MESQUITE TX 75149,3,2.0,1961,924,3302,232142,32.7876042,-96.6346919,75149,232142,209671
1735 LUCILLE DR MESQUITE TX 75149,3,2.0,1961,936,7196,219766,32.7844434,-96.6362758,75149,219766,210488
2333 STAFFORD LN MESQUITE TX 75150,3,2.0,1970,1696,9518,320497,32.8070994,-96.6376529,75150,320497,278864
2333 STAFFORD LN MESQUITE TX 75150,3,2.0,1970,1696,9518,320497,32.8070994,-96.6376529,75150,320497,338672
3209 FLAMELEAF ST GARLAND TX 75044,3,2.0,1977,1939,7131,320497,32.9468294,-96.674793,75044,320497,278864
3209 FLAMELEAF ST GARLAND TX 75044,3,2.0,1977,1939,7131,320497,32.9468294,-96.674793,75044,320497,338672
2222 LOYCE DR MESQUITE TX 75149,3,1.0,1959,1261,7642,227905,32.7897343,-96.6309347,75149,227905,218830
2204 SYBIL DR MESQUITE TX 75149,3,1.5,1959,1292,7501,243447,32.7888924,-96.6300973,75149,243447,227285
912 TIFFANY LN MESQUITE TX 75149,4,3.0,1985,2873,11522,360701,32.7576151,-96.6039311,75149,360701,333922
1622 ARBOR CREEK DR GARLAND TX 75040,3,2.0,1999,1741,5245,360701,32.9274574,-96.5987901,75040,360701,333922
907 LAKESHORE DR MESQUITE TX 75149,4,3.0,1984,2237,10402,408035,32.7572135,-96.6023874,75149,408035,330906
2727 CHISOLM TRL MESQUITE TX 75150,3,2.0,1984,1496,7131,269431,32.8037746,-96.6185813,75150,269431,272675
1739 LUCILLE DR MESQUITE TX 75149,3,1.5,1961,960,7196,190969,32.7845718,-96.6364369,75149,190969,205808
1540 MAYFAIR DR MESQUITE TX 75149,3,2.0,1992,1948,7802,294200,32.7472223,-96.5878275,75149,294200,300276
920 MIRANDA DR MESQUITE TX 75149,3,1.0,1962,1242,7200,234552,32.7528393,-96.5868281,75149,234552,219493
731 JARDIN DR MESQUITE TX 75149,4,2.0,1954,1548,8847,224267,32.7585395,-96.5913735,75149,224267,246543
813 WESTOVER DR LANCASTER TX 75134,3,2.0,1984,1443,4129,224267,32.623841,-96.773754,75134,224267,246543
4518 MEADOWVIEW DR MESQUITE TX 75150,4,2.0,1983,2438,7414,274471,32.8271901,-96.6136953,75150,274471,348940
731 MEADOWCREEK CT GARLAND TX 75043,3,2.0,1986,1917,4870,274471,32.8545552,-96.6329312,75043,274471,348940
1212 FOXBORO LN MESQUITE TX 75150,4,2.0,1983,2132,7196,381953,32.8257735,-96.6144991,75150,381953,326097
2718 GRANITE AVE SACHSE TX 75048,4,2.5,1998,2076,6848,381953,32.9679162,-96.5956286,75048,381953,326097
1710 BELMONT ST MESQUITE TX 75149,3,1.0,1957,1235,7501,225044,32.7869196,-96.6109793,75149,225044,215734
1023 DANDELION DR MESQUITE TX 75149,3,2.0,1987,1589,7096,283619,32.7741305,-96.5845742,75149,283619,279448
418 SE DALLAS ST GRAND PRAIRIE TX 75051,3,2.0,2014,1330,7148,283619,32.7436969,-96.9988876,75051,283619,279448
1404 RICHARD ST MESQUITE TX 75149,3,1.0,1958,1078,7501,251023,32.7859673,-96.6176757,75149,251023,205613
1425 ALTA MESA CT MESQUITE TX 75150,3,2.0,1989,2393,4330,340871,32.843078,-96.6286857,75150,340871,342762
3005 EMERALD DR MESQUITE TX 75150,3,2.0,1974,1639,8211,284450,32.8071158,-96.6447918,75150,284450,277107
602 DEBRA DR MESQUITE TX 75149,3,2.0,1970,1676,7200,276560,32.7716989,-96.5949194,75149,276560,267182
6413 TUCKERS PL ROWLETT TX 75089,3,2.0,2013,2598,9148,505906,32.9176301,-96.581863,75089,505906,434610
6214 TUCKERS PL ROWLETT TX 75089,4,3.0,2016,3161,10119,584322,32.9165409,-96.5800695,75089,584322,496768
6102 TUCKERS PL ROWLETT TX 75089,4,3.5,2016,3487,9317,610839,32.9154234,-96.5789528,75089,610839,548822
6610 TUCKERS PL ROWLETT TX 75089,4,3.0,2012,3582,11021,659166,32.9193002,-96.5826138,75089,659166,545789
2009 COVINGTON DR ROWLETT TX 75089,4,2.5,2013,2648,13412,480442,32.9182612,-96.5831977,75089,480442,419437
2009 COVINGTON DR ROWLETT TX 75089,4,2.5,2013,2648,13412,480442,32.9182612,-96.5831977,75089,480442,441652
1313 LINDEN LN GARLAND TX 75040,4,2.5,1999,2477,11609,480442,32.9006649,-96.6473387,75040,480442,419437
1313 LINDEN LN GARLAND TX 75040,4,2.5,1999,2477,11609,480442,32.9006649,-96.6473387,75040,480442,441652
6313 TERESA LN ROWLETT TX 75089,5,4.5,2015,3792,9261,638533,32.9172421,-96.5825721,75089,638533,612103
6010 TUCKERS PL ROWLETT TX 75089,3,3.0,2016,2596,11587,537784,32.9148723,-96.5784244,75089,537784,447069
6116 TERESA LN ROWLETT TX 75089,5,4.5,2015,3772,10149,709802,32.9155526,-96.5815523,75089,709802,609189
6706 TUCKERS PL ROWLETT TX 75089,4,3.0,2012,3413,9200,563569,32.9199774,-96.5830726,75089,563569,523383
6416 TERESA LN ROWLETT TX 75089,4,3.5,2013,3659,10210,686250,32.9180616,-96.585325,75089,686250,567329
6117 TUCKERS PL ROWLETT TX 75089,3,2.0,2016,2598,10263,512266,32.9156491,-96.5801575,75089,512266,437597
6124 TERESA LN ROWLETT TX 75089,4,3.5,2015,3487,10128,614796,32.9157805,-96.5818221,75089,614796,531307
7005 NEW BURY CT ROWLETT TX 75089,4,3.5,2006,3483,10616,614796,32.9221905,-96.5325321,75089,614796,531307
5201 LAKE FOREST DR ROWLETT TX 75088,5,3.5,2007,4916,35724,1021410,32.8944427,-96.5511791,75088,1021410,796669
8417 PORTSMOUTH DR ROWLETT TX 75088,4,2.5,1986,2535,10276,455649,32.8883372,-96.5204338,75088,455649,431573
633 KING ST CEDAR HILL TX 75104,3,2.0,1998,1236,5998,249303,32.5638223,-96.95608,75104,249303,245004
507 TUNNEL ST CEDAR HILL TX 75104,4,2.5,2013,2551,6599,343226,32.5645285,-96.9506791,75104,343226,371915
1500 CUMBERLAND DR CEDAR HILL TX 75104,4,2.5,1987,2403,10498,317518,32.6200384,-96.9552829,75104,317518,254857
3615 GLENHAVEN BLVD DALLAS TX 75211,4,2.0,1948,1417,6965,317518,32.7294668,-96.8799829,75211,317518,254857
1233 NUTTING ST CEDAR HILL TX 75104,3,2.0,1999,1476,6059,273199,32.5646743,-96.9551166,75104,273199,265924
1550 JESSE RAMSEY BLVD CEDAR HILL TX 75104,5,3.5,1997,3022,7200,397509,32.6231715,-96.9574224,75104,397509,421674
5010 LAKE FOREST DR ROWLETT TX 75088,4,3.5,2000,4623,23183,799850,32.8936458,-96.5531108,75088,799850,744682
6006 TUCKERS PL ROWLETT TX 75089,5,4.5,2016,3792,12423,666947,32.9147043,-96.5783178,75089,666947,613748
4501 LAKE HILL DR ROWLETT TX 75089,4,2.5,1991,2074,10402,357341,32.9179299,-96.5578012,75089,357341,371387
3702 LISA DR ROWLETT TX 75088,2,1.5,1971,1308,7200,242552,32.8946839,-96.5713531,75088,242552,261263
5531 NUTHATCH ST DALLAS TX 75236,3,2.0,2002,1186,9370,242552,32.6768411,-96.8971652,75236,242552,261263
3021 SANDRA LN ROWLETT TX 75088,3,1.5,1971,1089,6900,233333,32.8954732,-96.5730212,75088,233333,239559
2306 LAGOON DR MESQUITE TX 75150,3,2.0,1962,2030,7200,233333,32.7974286,-96.6563521,75150,233333,239559
6321 AHNEE DR ROWLETT TX 75089,3,3.0,1987,2399,10790,389338,32.916962,-96.5566129,75089,389338,401600
4405 SHADY LN ROWLETT TX 75089,4,2.5,1994,2479,23740,517266,32.9153152,-96.5591771,75089,517266,408493
12581 PRESCOTT PL FARMERS BRANCH TX 75234,5,5.0,2020,4105,6100,852531,32.9141209,-96.9211441,75234,852531,876462
12615 ROYAL OAKS LN FARMERS BRANCH TX 75234,6,3.5,2019,3208,5606,724487,32.9118449,-96.9288927,75234,724487,717979
120 EAST FORK RD SUNNYVALE TX 75182,3,2.5,1977,2360,43560,465575,32.7861296,-96.5402714,75182,465575,458652
1526 WINDERMERE WAY FARMERS BRANCH TX 75234,3,2.5,2019,1832,2309,479791,32.91563,-96.9262516,75234,479791,486327
360 SANDY CREEK DR SUNNYVALE TX 75182,5,4.5,2014,3771,23988,758695,32.8064775,-96.5691221,75182,758695,761425
2808 MARK TWAIN DR FARMERS BRANCH TX 75234,4,2.0,1962,1788,10450,362680,32.9404419,-96.8832514,75234,362680,320658
4305 PRINCETON DR GARLAND TX 75042,4,2.5,1964,1667,6900,362680,32.9187958,-96.6977533,75042,362680,320658
3116 BERRYMEADE LN FARMERS BRANCH TX 75234,5,4.5,1969,3741,19166,795140,32.933527,-96.871582,75234,795140,730118
287 MORNING FOG LN SUNNYVALE TX 75182,3,3.5,2017,3430,21244,784315,32.8076626,-96.5787349,75182,784315,694944
3072 OLD NORTH RD FARMERS BRANCH TX 75234,3,2.5,1962,1630,11051,316791,32.9420123,-96.8734255,75234,316791,375952
13516 GLENSIDE DR FARMERS BRANCH TX 75234,3,1.0,1956,1367,7562,315991,32.9301876,-96.8698891,75234,315991,305925
13740 PYRAMID DR FARMERS BRANCH TX 75234,3,1.0,1956,1596,8751,383511,32.9325413,-96.8837131,75234,383511,336020
2952 PHYLLIS LN FARMERS BRANCH TX 75234,3,2.0,1954,1477,9749,358715,32.9224677,-96.878684,75234,358715,351256
1419 PRAIRIE DR LANCASTER TX 75146,3,2.5,2004,2674,8364,358715,32.6025191,-96.811027,75146,358715,351256
14142 HEARTSIDE PL FARMERS BRANCH TX 75234,3,2.0,1961,1448,10624,323568,32.9403291,-96.8797315,75234,323568,341602
2966 OXFORDSHIRE LN FARMERS BRANCH TX 75234,3,2.0,1961,1181,9374,309869,32.940396,-96.8769241,75234,309869,306513
13921 JANWOOD LN FARMERS BRANCH TX 75234,3,2.0,1959,1061,12463,322030,32.9356139,-96.877846,75234,322030,287959
2948 HARLEE DR FARMERS BRANCH TX 75234,3,2.0,1972,1906,10001,379218,32.9263834,-96.8756043,75234,379218,417088
3245 GOLFING GREEN DR FARMERS BRANCH TX 75234,5,2.5,1963,2968,11439,743564,32.9326233,-96.8689698,75234,743564,570372
13915 BIRCHLAWN  FARMERS BRANCH TX 75234,4,3.0,1957,1232,8490,339500,32.9349378,-96.883288,75234,339500,330260
3521 PEBBLE BEACH DR FARMERS BRANCH TX 75234,4,3.0,1967,2383,14375,566588,32.9425141,-96.8615066,75234,566588,498457
13610 CHARCOAL LN FARMERS BRANCH TX 75234,3,1.0,1958,924,7501,255497,32.9300863,-96.8823905,75234,255497,250485
14039 RAWHIDE PKWY FARMERS BRANCH TX 75234,3,2.0,1960,1422,8751,303377,32.9348599,-96.8744311,75234,303377,336796
13725 PYRAMID DR FARMERS BRANCH TX 75234,3,1.0,1956,1184,8751,261791,32.9323655,-96.88451,75234,261791,281873
2971 AMBER LN FARMERS BRANCH TX 75234,3,2.0,1959,1237,8751,315499,32.9365086,-96.8767146,75234,315499,311093
13626 CHARCOAL LN FARMERS BRANCH TX 75234,3,1.0,1958,1156,8751,256244,32.9304854,-96.8819488,75234,256244,280974
12571 THORNHILL RD FARMERS BRANCH TX 75234,3,2.5,2018,3297,5715,603378,32.9139892,-96.9219407,75234,603378,692578
12909 PENNYSTONE DR FARMERS BRANCH TX 75244,4,2.0,1968,2385,11692,487462,32.9217207,-96.8555577,75244,487462,590193
2531 VALWOOD PKWY FARMERS BRANCH TX 75234,2,1.0,1955,877,8059,247651,32.9389025,-96.8960755,75234,247651,235614
