full_address,beds,baths,year_built,sq_ft_interior,sq_ft_lot,price,lat,long,zip_code
3909 SAPLING DR BALCH SPRINGS TX 75180,3,2.0,1968,1154,7802,211995,32.7168028,-96.6009271,75180
11935 CANFA DR BALCH SPRINGS TX 75180,2,1.0,1955,1830,12550,262681,32.7275523,-96.6211237,75180
11810 AMBERLY LN BALCH SPRINGS TX 75180,3,2.0,1985,1500,5693,259926,32.7394644,-96.624256,75180
11806 AVERY LN BALCH SPRINGS TX 75180,3,2.0,1985,1191,5828,216721,32.7387153,-96.6244731,75180
4005 AMBASSADOR WAY  BALCH SPRINGS TX 75180,3,1.5,1972,1102,7074,201108,32.7145222,-96.6175345,75180
12219 DUKE DR BALCH SPRINGS TX 75180,3,1.5,1971,1485,6569,215371,32.7156519,-96.6153723,75180
4123 WOODBURY RD BALCH SPRINGS TX 75180,3,2.0,2019,1880,13878,363987,32.7124822,-96.6332906,75180
4901 RIMWOOD DR BALCH SPRINGS TX 75180,3,2.0,2018,1479,8146,322471,32.7037679,-96.6332272,75180
12028 BARON DR BALCH SPRINGS TX 75180,3,1.5,1972,1132,7087,221867,32.7120892,-96.6179259,75180
4301 SILVERTHORNE DR BALCH SPRINGS TX 75180,5,3.0,2002,3598,7200,368470,32.7136334,-96.5935427,75180
14850 BRIDLE BEND DR BALCH SPRINGS TX 75180,3,2.0,2002,2248,7200,338567,32.7137119,-96.5887037,75180
14500 HORSESHOE TRL BALCH SPRINGS TX 75180,2,1.0,1973,1292,8999,202051,32.7091876,-96.596976,75180
12227 SPRING BRANCH DR BALCH SPRINGS TX 75180,3,2.0,1972,1437,7275,257597,32.7133034,-96.6149633,75180
11026 GRADY LN BALCH SPRINGS TX 75180,3,2.0,1950,1464,33167,260251,32.7118345,-96.636818,75180
12415 CRESTWOOD LN BALCH SPRINGS TX 75180,3,1.5,1970,1186,7200,204922,32.7261218,-96.6125707,75180
12507 SHORECREST LN BALCH SPRINGS TX 75180,3,1.5,1971,1261,7200,214563,32.7268949,-96.6119426,75180
12204 SQUIRE DR BALCH SPRINGS TX 75180,3,2.0,1971,1149,7135,201869,32.7113065,-96.6161797,75180
4002 RUSTIC TRL BALCH SPRINGS TX 75180,3,2.0,1985,1593,7505,244647,32.7159309,-96.6016364,75180
14300 OSAGE DR BALCH SPRINGS TX 75180,4,1.0,1967,1004,7196,185757,32.7081279,-96.5996754,75180
7906 LINDSEY DR ROWLETT TX 75088,4,2.5,2011,3807,13887,639192,32.9039254,-96.5253153,75088
4309 CONSTITUTION DR ROWLETT TX 75089,3,2.0,2000,2127,9004,412452,32.9111319,-96.5622922,75089
4313 CONSTITUTION DR ROWLETT TX 75089,3,2.0,2000,2175,9004,393304,32.911152,-96.5621146,75089
5909 FREESTONE CT ROWLETT TX 75089,4,2.5,2001,3020,9069,502904,32.913061,-96.5629413,75089
5914 INDEPENDENCE CT ROWLETT TX 75089,4,2.5,2002,2477,9161,463245,32.9132113,-96.5633467,75089
5701 FREEDOM LN ROWLETT TX 75089,4,2.5,2002,3076,9008,502763,32.910821,-96.5633676,75089
6802 LAKESHORE DR ROWLETT TX 75089,3,2.0,1980,2032,10289,367024,32.9121736,-96.5371245,75089
206 GOLDEN POND DR CEDAR HILL TX 75104,5,5.5,2006,6124,50268,1049287,32.5836265,-97.0027671,75104
7110 LAKESHORE DR ROWLETT TX 75089,3,2.0,1976,1600,7488,308076,32.9121022,-96.5334567,75089
6906 LAKESHORE DR ROWLETT TX 75089,4,2.5,1977,2079,8024,335148,32.9121743,-96.5358533,75089
6602 LAKESHORE CT ROWLETT TX 75089,4,3.0,1975,3842,8499,572778,32.9127332,-96.5390001,75089
6905 HARVEST HILL DR ROWLETT TX 75089,3,2.5,1973,1782,7475,312636,32.9148967,-96.5357699,75089
7920 GARNER RD ROWLETT TX 75088,4,2.5,2005,2003,10585,351782,32.8865205,-96.52458,75088
6409 ROSEBUD DR ROWLETT TX 75089,3,2.0,1999,2138,9300,371408,32.9217845,-96.568037,75089
6413 BLUEBONNET DR ROWLETT TX 75089,3,2.0,2002,1955,19219,384027,32.9210718,-96.5699566,75089
6401 BLUEBONNET DR ROWLETT TX 75089,3,2.0,1997,1825,10167,304119,32.9199538,-96.5693514,75089
7305 SHAWN DR ROWLETT TX 75088,3,2.0,1994,1830,10494,344733,32.907792,-96.5320397,75088
7205 SHAWN DR ROWLETT TX 75088,3,2.0,1984,1740,10555,336339,32.9077823,-96.533117,75088
7306 SHAWN DR ROWLETT TX 75088,3,2.0,1996,1754,10694,316413,32.9073974,-96.5320397,75088
7113 SHIPP RD ROWLETT TX 75088,3,2.0,1984,1672,10237,323776,32.907089,-96.5337485,75088
10105 WATERVIEW PKWY ROWLETT TX 75089,4,3.5,2001,3725,10507,583938,32.9514336,-96.5348738,75089
7806 WILMINGTON DR ROWLETT TX 75089,3,2.0,2003,2293,7200,406815,32.9197421,-96.5269345,75089
114 GLACIER LN CEDAR HILL TX 75104,4,2.0,2004,2188,8398,360284,32.623194,-96.936366,75104
8505 LEXINGTON DR ROWLETT TX 75089,4,2.5,2002,2863,7200,430137,32.9203408,-96.5200796,75089
8705 HARTFORD DR ROWLETT TX 75089,4,2.0,2000,2290,9579,410987,32.9193581,-96.5208505,75089
8410 HUNTINGTON DR ROWLETT TX 75089,4,2.0,2000,2293,7671,426906,32.9186102,-96.5203301,75089
8502 HUNTINGTON DR ROWLETT TX 75089,4,2.0,2000,2106,7671,377096,32.9188041,-96.5199549,75089
8706 LEXINGTON DR ROWLETT TX 75089,4,2.5,2001,3073,8002,474561,32.9198391,-96.5183504,75089
3314 MISTLETOE LN ROWLETT TX 75088,3,2.0,2001,2180,9100,424501,32.8909634,-96.5591146,75088
4214 GLISTENING SPRINGS  ROWLETT TX 75088,4,3.0,2001,2852,9030,447891,32.88901,-96.560479,75088
4210 POPPY HILL CT ROWLETT TX 75088,3,2.5,2001,2593,13922,436954,32.8882176,-96.5608866,75088
4318 CONSTITUTION DR ROWLETT TX 75089,3,2.0,2001,2539,10502,427879,32.9106598,-96.5618456,75089
4317 CONSTITUTION DR ROWLETT TX 75089,5,4.0,2000,3442,10759,476567,32.911142,-96.5618456,75089
5906 AMBASSADOR LN ROWLETT TX 75089,3,2.0,2001,2201,15459,414669,32.9123553,-96.5625336,75089
4314 DIPLOMACY DR ROWLETT TX 75089,4,2.5,2001,2598,10332,496839,32.9118237,-96.5622209,75089
6601 CREEK BEND  ROWLETT TX 75089,3,2.0,2002,2537,10376,423630,32.9296302,-96.5394586,75089
8106 LAKE VALLEY CT ROWLETT TX 75089,4,2.5,2012,2700,15751,498749,32.9316838,-96.5395837,75089
4305 CONSTITUTION DR ROWLETT TX 75089,4,2.5,2001,2598,9004,467718,32.9111278,-96.5625336,75089
5805 GREENWAY DR ROWLETT TX 75089,4,2.5,2001,3020,10032,483075,32.9120285,-96.5619496,75089
5902 PATRIOT CT ROWLETT TX 75089,4,2.5,2000,2946,9400,469087,32.9127048,-96.5613036,75089
5917 INDEPENDENCE CT ROWLETT TX 75089,4,3.5,2001,3098,9553,522070,32.9131656,-96.5640155,75089
5909 INDEPENDENCE CT ROWLETT TX 75089,3,2.0,2001,2239,9622,382312,32.9128617,-96.5640209,75089
5910 MARK LN ROWLETT TX 75089,3,2.5,1973,1809,9396,323603,32.9136863,-96.5350743,75089
5813 BOBBIE LN ROWLETT TX 75089,3,2.0,1975,1896,8015,341515,32.9131,-96.5344987,75089
5805 BOBBIE LN ROWLETT TX 75089,3,2.5,1976,1773,6499,321387,32.9127092,-96.5344851,75089
7201 TIMBERLINE DR ROWLETT TX 75089,3,2.5,1976,1599,7126,233875,32.9133012,-96.533165,75089
534 REBECCA DR CEDAR HILL TX 75104,3,2.0,2004,1534,3798,316659,32.5947329,-96.9557102,75104
7609 WESTOVER DR ROWLETT TX 75089,4,2.5,2005,3382,8385,508655,32.9224464,-96.5284556,75089
7014 HANDEN DR ROWLETT TX 75089,4,2.5,2009,2944,7200,474683,32.9222134,-96.5307278,75089
7006 SALEM CT ROWLETT TX 75089,4,2.5,2008,2954,8076,473107,32.9218732,-96.5298427,75089
7014 SALEM CT ROWLETT TX 75089,4,3.0,2007,2889,7327,485727,32.922205,-96.529783,75089
7106 SALEM CT ROWLETT TX 75089,4,3.5,2007,3421,11683,571960,32.922587,-96.5297818,75089
7001 SALEM CT ROWLETT TX 75089,4,3.5,2010,2777,8425,456645,32.9216942,-96.530318,75089
7614 KALLAN DR ROWLETT TX 75089,4,2.0,2004,2064,8032,395119,32.9205045,-96.5287057,75089
7013 BROCKTON CT ROWLETT TX 75089,5,4.0,2006,3331,15006,537364,32.9226093,-96.5337793,75089
7005 STATFORD DR ROWLETT TX 75089,3,2.0,2010,2101,7100,420075,32.9234579,-96.5346863,75089
7013 STATFORD DR ROWLETT TX 75089,3,2.5,2009,2337,7100,447337,32.9234534,-96.5342784,75089
5702 GREENWAY DR ROWLETT TX 75089,4,2.0,2001,2234,9100,393706,32.9107603,-96.5612827,75089
5909 PATRIOT CT ROWLETT TX 75089,4,3.0,2001,2550,46230,468942,32.9129997,-96.5619499,75089
5913 FREESTONE CT ROWLETT TX 75089,4,2.5,2001,3076,9313,484720,32.9132727,-96.5630131,75089
5905 FREESTONE CT ROWLETT TX 75089,3,2.0,2001,2359,9065,418790,32.9129297,-96.5629411,75089
5817 AMBASSADOR LN ROWLETT TX 75089,3,2.0,2001,2122,11600,382701,32.9122949,-96.563972,75089
5613 FREEDOM LN ROWLETT TX 75089,3,2.0,2000,2328,9008,424895,32.910387,-96.5632842,75089
127 HANNAH CIR CEDAR HILL TX 75104,4,3.5,2002,2764,8398,386040,32.6207562,-96.9383371,75104
114 YORKSHIRE DR CEDAR HILL TX 75104,3,2.0,1970,1392,9479,243082,32.5813897,-96.9446322,75104
3414 MISTLETOE LN ROWLETT TX 75088,4,2.0,2000,3000,9100,479406,32.8919273,-96.5590978,75088
8106 FREEMAN DR ROWLETT TX 75089,4,2.5,2001,2650,8616,443497,32.917787,-96.5236693,75089
6513 AMESBURY LN ROWLETT TX 75089,4,3.0,2001,2582,9113,456751,32.9195137,-96.5233299,75089
8601 HUNTINGTON DR ROWLETT TX 75089,4,2.5,2000,2964,8999,446416,32.9195764,-96.519667,75089
6206 AMESBURY LN ROWLETT TX 75089,3,2.0,2009,1594,8394,359466,32.9172946,-96.5213297,75089
8714 HARTFORD DR ROWLETT TX 75089,4,2.0,2000,2290,9958,409670,32.9185723,-96.5209939,75089
8514 HUNTINGTON DR ROWLETT TX 75089,4,2.5,2001,2688,8202,412147,32.9190652,-96.5193716,75089
6510 WESTOVER DR ROWLETT TX 75089,4,2.5,2000,3015,7623,471054,32.9196753,-96.5219131,75089
310 CEDAR ST CEDAR HILL TX 75104,3,2.0,1940,1345,6482,227939,32.5884891,-96.9520109,75104
210 WHITNEY ST CEDAR HILL TX 75104,3,1.0,1981,1365,8625,259835,32.5869476,-96.9401405,75104
419 SIMS DR CEDAR HILL TX 75104,3,2.5,1987,1920,5301,317415,32.5846646,-96.9307006,75104
9206 WATERVIEW PKWY ROWLETT TX 75089,5,4.0,2001,3678,13512,602589,32.9431089,-96.5348321,75089
509 RAINIER ST CEDAR HILL TX 75104,3,2.0,1986,1544,8507,238862,32.5853007,-96.9329481,75104
3213 MISTLETOE LN ROWLETT TX 75088,3,2.0,2001,2180,9026,408175,32.8899725,-96.5596149,75088
3405 MISTLETOE LN ROWLETT TX 75088,3,2.0,2002,2122,11548,370574,32.891551,-96.5596149,75088
3214 PALISADE FALLS  ROWLETT TX 75088,4,2.5,2001,2464,9030,419056,32.8900085,-96.5601604,75088
3018 WHISPERING BROOK  ROWLETT TX 75088,4,2.0,2001,2386,14588,418884,32.8879261,-96.5614287,75088
3414 SUMMER SOLSTICE  ROWLETT TX 75088,4,2.0,2002,2377,21523,518678,32.892266,-96.5610325,75088
4201 JASPER CT ROWLETT TX 75088,4,3.0,2001,2631,13848,483110,32.8906041,-96.5609492,75088
3606 BEECH ST ROWLETT TX 75089,3,2.5,1997,2382,17908,466641,32.9187286,-96.5676417,75089
3602 BEECH ST ROWLETT TX 75089,4,2.5,2004,2543,18160,483259,32.9184677,-96.5676,75089
819 BURNEY CT CEDAR HILL TX 75104,4,2.5,2002,3196,9217,320994,32.5743606,-96.9495569,75104
8010 WILMINGTON DR ROWLETT TX 75089,4,2.0,2004,2046,8002,384162,32.9197588,-96.5249342,75089
6605 KEARSAGE DR ROWLETT TX 75089,3,2.5,2001,2788,8215,463260,32.91905,-96.5284348,75089
2812 SONTERRA DR CEDAR HILL TX 75104,4,5.5,2007,4557,43660,862859,32.5739719,-97.0072172,75104
7505 HANDEN DR ROWLETT TX 75089,4,2.5,2009,2622,7200,451017,32.9234179,-96.5299976,75089
7605 HANDEN DR ROWLETT TX 75089,4,3.5,2006,3314,10581,559959,32.9234144,-96.5290264,75089
7206 BICKERS DR ROWLETT TX 75089,4,3.0,2006,2992,10803,459972,32.9233126,-96.5288421,75089
7002 HANDEN DR ROWLETT TX 75089,5,3.0,2010,3359,8316,501093,32.9216509,-96.5306804,75089
6605 LAKESHORE CT ROWLETT TX 75089,3,3.0,1975,3104,34182,547444,32.9133096,-96.5388751,75089
6009 LAKESHORE DR ROWLETT TX 75089,4,3.0,1976,2348,10999,627234,32.914721,-96.5378747,75089
7114 RIDGEVIEW DR ROWLETT TX 75089,3,2.5,1978,1890,6551,339911,32.9136044,-96.5335272,75089
7310 RIDGEVIEW DR ROWLETT TX 75089,4,2.0,1977,1505,6551,215899,32.9136339,-96.5318313,75089
7205 RIDGEVIEW DR ROWLETT TX 75089,3,2.5,1979,1783,6551,319022,32.9140573,-96.5331033,75089
7101 RIDGEVIEW DR ROWLETT TX 75089,4,2.5,1978,1890,7275,310507,32.914071,-96.5343737,75089
7109 HARVEST HILL DR ROWLETT TX 75089,4,2.0,1978,1936,6957,339904,32.9148128,-96.5339477,75089
6105 LAKESHORE DR ROWLETT TX 75089,3,2.0,1988,2060,8690,378354,32.9152557,-96.537708,75089
7810 WILMINGTON DR ROWLETT TX 75089,3,2.0,2003,1903,7200,367288,32.919776,-96.5267053,75089
7910 FREEMAN DR ROWLETT TX 75089,3,2.0,2002,2336,9884,419858,32.9178246,-96.5254551,75089
7710 FREEMAN DR ROWLETT TX 75089,3,2.0,2002,2210,8590,407702,32.9177311,-96.5272471,75089
6413 KEARSAGE DR ROWLETT TX 75089,5,3.0,2001,3311,13473,507352,32.9178226,-96.5284348,75089
6505 KEARSAGE DR ROWLETT TX 75089,4,2.0,2001,2177,8403,416443,32.9182609,-96.5284348,75089
7809 YORKTOWN DR ROWLETT TX 75089,4,2.5,2001,2896,8577,483108,32.9193858,-96.526622,75089
6506 VALLEY FORGE DR ROWLETT TX 75089,4,2.5,2002,2599,8882,464939,32.9184605,-96.5258719,75089
6510 BUNKER HILL CT ROWLETT TX 75089,3,2.0,2002,1923,8699,409950,32.9186233,-96.5248509,75089
6502 BUNKER HILL CT ROWLETT TX 75089,4,2.5,2001,2616,10446,492895,32.9182496,-96.5248717,75089
820 WILLOW WOOD DR CEDAR HILL TX 75104,5,2.5,1998,3116,8281,375141,32.5828411,-96.9237437,75104
7906 FREEMAN DR ROWLETT TX 75089,3,2.5,2002,2617,9788,459836,32.9178576,-96.5256635,75089
6513 KEARSAGE DR ROWLETT TX 75089,5,2.0,2002,2412,8403,432644,32.9186325,-96.5284556,75089
6505 BUNKER HILL CT ROWLETT TX 75089,4,2.0,2001,2568,8786,463032,32.9184249,-96.5253393,75089
7710 YORKTOWN DR ROWLETT TX 75089,4,3.0,2001,2887,8686,477133,32.9189894,-96.5274971,75089
7110 HANDEN DR ROWLETT TX 75089,5,3.0,2008,3348,7296,489808,32.9227706,-96.530703,75089
7506 AMESBURY LN ROWLETT TX 75089,3,2.0,2005,1905,8002,371591,32.9212426,-96.5301018,75089
7614 AMESBURY LN ROWLETT TX 75089,4,3.0,2005,3349,8128,419798,32.9212289,-96.5286848,75089
7701 KALLAN DR ROWLETT TX 75089,4,2.0,2004,2325,8255,434305,32.9209137,-96.5284476,75089
7405 KALLAN DR ROWLETT TX 75089,4,2.0,2005,2146,8002,381659,32.9209273,-96.531102,75089
7506 KALLAN DR ROWLETT TX 75089,5,3.0,2005,3747,8028,493255,32.920516,-96.5301643,75089
6610 AMESBURY LN ROWLETT TX 75089,4,2.0,2003,1923,7423,358149,32.9201427,-96.5230382,75089
7914 MUNICH DR ROWLETT TX 75089,4,2.5,2001,2879,8002,454663,32.9156367,-96.5245383,75089
8014 SALZBURG DR ROWLETT TX 75089,4,2.0,2003,2121,7200,395578,32.916817,-96.5237816,75089
8202 SALZBURG DR ROWLETT TX 75089,4,2.0,2000,2290,7200,409047,32.9172882,-96.5228656,75089
8113 MUNICH DR ROWLETT TX 75089,5,3.0,2000,2632,7200,438071,32.9168915,-96.5229006,75089
8209 SALZBURG DR ROWLETT TX 75089,5,3.0,2001,2388,8202,413014,32.917933,-96.5225381,75089
8105 FREEMAN DR ROWLETT TX 75089,4,2.5,2000,2890,8006,433207,32.9182272,-96.5236216,75089
6614 MARQUETT DR ROWLETT TX 75089,3,2.5,2000,2293,8760,418689,32.9197344,-96.523863,75089
421 WHETSTONE ST DESOTO TX 75115,3,2.0,2011,1805,6003,329439,32.5924212,-96.8647063,75115
132 MEADOWCREST DR DESOTO TX 75115,3,2.0,1975,1754,10400,271186,32.5927761,-96.8321898,75115
104 CLOUDCREST DR DESOTO TX 75115,4,3.0,1964,2006,12480,284700,32.5892589,-96.831792,75115
1048 EAGLE DR DESOTO TX 75115,3,2.0,1986,1596,9365,309599,32.5852179,-96.8820781,75115
709 N COCKRELL HILL RD DESOTO TX 75115,4,3.5,1985,2889,38908,451801,32.6002296,-96.8916957,75115
1657 CARRIAGE CREEK DR DESOTO TX 75115,5,3.5,2021,2839,15037,587967,32.599183,-96.8990067,75115
1032 GRANITE LN DESOTO TX 75115,3,2.0,1984,1700,8285,286567,32.5889587,-96.8811981,75115
1141 WATERVIEW LN DESOTO TX 75115,3,2.0,1978,2491,11400,337423,32.6107548,-96.835414,75115
833 HORSESHOE CT DESOTO TX 75115,3,2.5,2006,2611,7131,287963,32.5760789,-96.8457576,75115
708 SPICE ST DESOTO TX 75115,4,2.0,2017,2218,10642,358181,32.5780202,-96.8830628,75115
1015 N COCKRELL HILL RD DESOTO TX 75115,5,6.5,2007,9865,138608,667465,32.607336,-96.8919472,75115
601 BENT CREEK DR DESOTO TX 75115,4,2.5,1985,2675,13125,392799,32.5968942,-96.8932045,75115
1212 KENSINGTON DR DESOTO TX 75115,4,3.0,2004,4488,7954,496683,32.593248,-96.8863524,75115
1229 MOUNTAIN LAUREL LN DESOTO TX 75115,4,3.5,2002,4672,9683,506662,32.5848763,-96.8895164,75115
1224 MOUNTAIN LAUREL LN DESOTO TX 75115,4,2.0,2002,2606,9993,373523,32.5843625,-96.889265,75115
517 QUAIL LN DESOTO TX 75115,3,2.0,1980,1945,10707,297056,32.5922603,-96.8465115,75115
333 JORDAN DR DESOTO TX 75115,3,2.0,1978,1940,8721,285862,32.5940649,-96.8464696,75115
404 SPINNER RD DESOTO TX 75115,3,2.0,1969,1497,43560,265804,32.5977948,-96.8643133,75115
1228 CARRIAGE CREEK DR DESOTO TX 75115,4,2.5,2004,2849,8594,349604,32.5941528,-96.8870858,75115
1220 DREXEL DR DESOTO TX 75115,5,3.5,2003,3607,9840,457513,32.583585,-96.8890135,75115
921 PRAIRIE CREEK DR DESOTO TX 75115,4,3.0,1979,2094,9940,331573,32.6030055,-96.836063,75115
816 MAGNOLIA TRAIL  DESOTO TX 75115,4,2.0,2003,2358,6891,341225,32.5767632,-96.8871487,75115
724 DAISY DR DESOTO TX 75115,5,3.5,2005,3938,8438,458880,32.5772578,-96.8857448,75115
1145 LEXINGTON LN DESOTO TX 75115,4,2.5,1990,2506,9396,330879,32.5937564,-96.8850952,75115
701 PINE HOLLOW DR DESOTO TX 75115,3,2.5,2006,2724,6747,292004,32.5775527,-96.8453388,75115
1113 WATERVIEW LN DESOTO TX 75115,3,2.0,1978,1757,10799,279752,32.6091057,-96.8358327,75115
601 CANDLE MEADOW BLVD DESOTO TX 75115,5,2.5,2001,4065,12149,416168,32.5806935,-96.8908366,75115
301 VALLEYGLEN DR DESOTO TX 75115,3,2.0,1965,1552,14867,219565,32.5846568,-96.8521238,75115
228 HIGHRIDGE DR DESOTO TX 75115,4,3.0,1966,2058,12001,238684,32.5823456,-96.8525845,75115
216 GREGORY DR DESOTO TX 75115,3,2.0,1975,1873,12001,266706,32.5788519,-96.8529615,75115
217 CONNIE DR DESOTO TX 75115,3,2.0,1973,1712,10306,297938,32.5800809,-96.8534013,75115
921 PINE TREE LN DESOTO TX 75115,3,2.0,1972,2177,10660,296126,32.6059834,-96.8366702,75115
1512 RUFFIAN RD DESOTO TX 75115,4,3.5,2015,3389,10677,438071,32.5767474,-96.8965528,75115
741 TERESA DR DESOTO TX 75115,4,2.5,1998,3047,11252,356335,32.5950228,-96.8405856,75115
720 OTECA DR DESOTO TX 75115,4,2.5,1992,2421,7187,374296,32.566828,-96.8412347,75115
219 EVELYN ST DESOTO TX 75115,3,1.5,1971,1341,16819,260556,32.5849162,-96.8667012,75115
725 CANDLE MEADOW BLVD DESOTO TX 75115,5,3.5,2004,4313,12240,454600,32.5775097,-96.8907737,75115
1416 KNOB HILL DR DESOTO TX 75115,3,2.0,1998,1994,8163,339232,32.5836104,-96.8953629,75115
302 ROSE CIR DESOTO TX 75115,3,2.0,1967,1470,21249,278332,32.5929323,-96.8511185,75115
613 VANILLA CT DESOTO TX 75115,5,3.5,2003,3144,9200,422684,32.5800161,-96.8863524,75115
1240 DEVONSHIRE DR DESOTO TX 75115,3,2.0,2004,2103,8050,354226,32.5925778,-96.8881544,75115
900 ASPEN DR DESOTO TX 75115,3,2.5,1986,2444,9439,350509,32.6166778,-96.8368168,75115
1204 ESTATE LN DESOTO TX 75115,3,2.0,1993,1934,10080,314379,32.6124148,-96.8315617,75115
1102 HONOR DR DESOTO TX 75115,4,3.0,1979,2698,244424,447949,32.6080081,-96.8463021,75115
210 SHOCKLEY AVE DESOTO TX 75115,3,3.0,1972,2216,11012,317743,32.6093414,-96.8540924,75115
602 FALL WHEAT CT DESOTO TX 75115,3,2.0,1989,1642,4129,317770,32.5798763,-96.8623863,75115
616 TERRACE DR DESOTO TX 75115,3,2.0,1976,2304,48961440,311097,32.5801143,-96.8515793,75115
608 MISTY GLEN DR DESOTO TX 75115,3,2.0,1964,1526,12449,266824,32.5994761,-96.8633079,75115
525 WHETSTONE ST DESOTO TX 75115,3,2.5,2021,2623,6003,457801,32.5923362,-96.8673012,75115
153 N CRESTWOOD BLVD DESOTO TX 75115,3,2.0,1975,2015,10402,294342,32.593243,-96.8316873,75115
1216 RICHARD PITTMON DR DESOTO TX 75115,4,3.0,2021,2757,11334,488287,32.568287,-96.888629,75115
1909 MONTAUK WAY  DESOTO TX 75115,3,2.5,1988,2155,11387,366612,32.608906,-96.9077701,75115
608 DENNIS DR DESOTO TX 75115,4,3.0,1964,2388,12175,303815,32.5994605,-96.8643971,75115
1129 MIRAMAR AVE DESOTO TX 75115,3,2.0,2004,2464,7667,400101,32.6004824,-96.8291123,75115
328 DAVIS DR DESOTO TX 75115,4,3.0,1965,2354,12262,341885,32.601308,-96.8627633,75115
601 SHASTA ST DESOTO TX 75115,4,3.5,2020,3178,10058,537579,32.5926311,-96.8687122,75115
504 CASTLE ST DESOTO TX 75115,3,2.5,2021,2809,6199,523650,32.591267,-96.866696,75115
1833 RIVER RUN DR DESOTO TX 75115,3,3.5,2016,3326,8411,491422,32.5969348,-96.9064706,75115
201 BRENTWOOD DR DESOTO TX 75115,4,2.5,2017,2792,10136,465127,32.5777328,-96.8588097,75115
1804 RIVER RUN DR DESOTO TX 75115,4,3.5,2016,3344,7919,421129,32.5964972,-96.9048358,75115
1736 RIVER RUN DR DESOTO TX 75115,6,3.5,2016,3931,7924,524384,32.5964946,-96.9036831,75115
433 TEN MILE DR DESOTO TX 75115,3,2.0,1966,1420,12123,269489,32.607928,-96.8654863,75115
605 N PARKS DR DESOTO TX 75115,4,2.5,1984,2266,14898,346102,32.5988535,-96.8457157,75115
130 LARCHBROOK DR DESOTO TX 75115,3,2.0,1985,1230,9074,226418,32.591419,-96.834897,75115
217 BRIGHTON DR DESOTO TX 75115,4,2.0,2018,2306,9975,379157,32.579339,-96.860131,75115
705 ALAINA DR DESOTO TX 75115,3,3.0,2021,2664,10794,463090,32.5723709,-96.871491,75115
212 CONURES DR DESOTO TX 75115,4,2.0,2014,2352,12563,359421,32.5690878,-96.8546369,75115
505 CANARY LN DESOTO TX 75115,3,2.0,1983,1493,7697,268399,32.5726976,-96.848103,75115
536 DAVIS DR DESOTO TX 75115,3,2.0,1985,1610,9557,293785,32.6016422,-96.8687122,75115
509 OLYMPIA ST DESOTO TX 75115,5,3.5,2011,3780,10010,479104,32.5950273,-96.8674972,75115
321 WATER CREST DR DESOTO TX 75115,4,3.5,2004,3208,9840,381079,32.5951813,-96.906785,75115
1001 N YOUNG BLVD DESOTO TX 75115,3,2.0,1966,1660,27051,294080,32.6072191,-96.8664379,75115
1104 MILLINGTON CT DESOTO TX 75115,4,2.5,2005,3170,13051,516881,32.6093031,-96.8765051,75115
833 ROBIN MEADOW DR DESOTO TX 75115,3,2.0,1985,2313,10149,348556,32.59953,-96.8381358,75115
454 THE MEADOWS PKWY DESOTO TX 75115,3,2.0,1985,2409,10359,320160,32.597224,-96.8417372,75115
702 CAMDEN CT DESOTO TX 75115,4,3.0,2019,2534,13312,435132,32.578615,-96.85729,75115
537 GLACIER ST DESOTO TX 75115,4,2.0,2009,2516,8398,373873,32.5938409,-96.8682932,75115
106 JEFFERSON AVE DESOTO TX 75115,3,2.0,1963,2566,18622,322517,32.5992863,-96.8559144,75115
505 BOB WHITE ST DESOTO TX 75115,3,1.5,1964,1351,23122,221285,32.5963342,-96.852417,75115
512 DANNY DR DESOTO TX 75115,4,2.0,1976,2220,10372,284550,32.6033232,-96.8673087,75115
825 W PLEASANT RUN RD DESOTO TX 75115,5,4.5,1997,3628,44954,490528,32.6045169,-96.8764213,75115
1350 W HULGAN CIR DESOTO TX 75115,3,2.0,1979,2206,39552,321992,32.5805268,-96.8970814,75115
1321 N HULGAN CIR DESOTO TX 75115,3,2.0,1973,1952,44213,311411,32.5819672,-96.8940637,75115
408 CAMBRIDGE DR DESOTO TX 75115,4,2.5,1978,2090,11722,313130,32.5845593,-96.8583439,75115
224 SHERWOOD LN DESOTO TX 75115,3,2.0,1978,1597,10402,259010,32.5797274,-96.8610877,75115
927 REGAL BLUFF LN DESOTO TX 75115,4,3.5,2014,3481,9997,470178,32.5770452,-96.8795883,75115
1343 W HULGAN CIR DESOTO TX 75115,3,2.5,1985,2307,54167,365741,32.5819844,-96.8969556,75115
832 DANBURY DR DESOTO TX 75115,4,2.5,2016,2670,10799,428941,32.5756695,-96.8768556,75115
440 CAMBRIDGE DR DESOTO TX 75115,3,2.0,1976,1940,17254,267541,32.5827777,-96.8583649,75115
925 DANBURY DR DESOTO TX 75115,4,3.0,2014,3208,10001,446171,32.576177,-96.8791565,75115
115 MANTLEBROOK DR DESOTO TX 75115,3,2.0,1972,2509,10907,325253,32.6126636,-96.8584486,75115
116 FAIRCREST DR DESOTO TX 75115,3,2.0,1972,1738,10402,265113,32.5910436,-96.8300962,75115
829 GINGER TRL DESOTO TX 75115,4,3.5,2007,4696,33999,721544,32.5787899,-96.8766308,75115
400 RICKEY CANYON  DESOTO TX 75115,3,2.0,1972,1711,9479,304138,32.5946925,-96.8542597,75115
221 WELLINGTON DR DESOTO TX 75115,4,3.0,2007,2360,10136,364903,32.5785584,-96.8603546,75115
